text,label
International aid organizations deliver relief supplies to flood-affected regions,REAL
SHOCKING: Major airline company caught putting drugs in cabin air to control passengers,FAKE
Scientists discover have ancient hiding books humans giant been the that history from us,FAKE
Global health in progress polio reports in agency previously eliminating endemic regions,REAL
ALERT: Social media companies listening to your private conversations 24/7,FAKE
This banned video shows the real cause of climate change — it's not CO2!,FAKE
University researchers develop new battery technology that charges 40 percent faster,REAL
Scientists develop new method against effective purification water emerging contaminants,REAL
EXPOSED: Major eliminate banks planning to and cash control are your spending,FAKE
"BREAKING: Aliens have Nevada, truth landed military is from hiding the in the public",FAKE
Central bank releases moderate economic quarterly outlook projecting growth ahead,REAL
URGENT: Banks planning to close all accounts and switch to digital currency by month end,FAKE
Study finds Mediterranean diet associated with lower risk of heart disease in older adults,REAL
Pharmaceutical company Phase 3 clinical trials promising begins for Alzheimer's treatment,REAL
You won't — the believe they inside is what moon covering found NASA this up!,FAKE
Stock markets close higher after positive jobs report released by labor department,REAL
Tech company quarterly analyst by expectations exceeding announces earnings 12 percent,REAL
ALERT: New allow all to law read government Internet will messages private starting Monday,FAKE
Researchers find promising new drug compound effective against antibiotic-resistant bacteria,REAL
"BREAKING: Ancient aliens built the pyramids, Egyptian government finally admits truth",FAKE
Pharmaceutical company begins Phase 3 clinical trials for promising Alzheimer's treatment,REAL
ALERT: New radiation from 5G towers causing mass bird deaths across the country,FAKE
City announces network expansion of traffic bike lane reduce to congestion downtown,REAL
ALERT: New causing towers from across mass deaths radiation 5G bird the country,FAKE
Miracle fruit diabetes cures companies overnight want — pharmaceutical you don't to know,FAKE
"World leaders secretly meet to plan global population reduction agenda, leaked documents show",FAKE
Celebrity whistleblower elite secret reveals runs Hollywood satanic rituals,FAKE
New climate accelerate urges carbon emission report to governments reduction targets,REAL
"BREAKING: Giant ancient civilization discovered underground, media blackout imposed",FAKE
International aviation body safety updates review protocols of following recent incidents,REAL
BREAKING: Secret underground tunnels connect major world capitals for elite travel,FAKE
Global summit on biodiversity concludes with agreement to protect 30 percent of land by 2030,REAL
Hidden cancer 50 by companies suppressed the for last cure drug years finally revealed,FAKE
Stock markets close by report released positive higher after jobs labor department,REAL
Public health campaign successfully reduces smoking rates to historic lows nationally,REAL
The food designed dependent lie and sick a make to is pyramid you on medicine,FAKE
New climate report urges governments to accelerate carbon emission reduction targets,REAL
City council budget transportation approves for new public infrastructure upgrades,REAL
"Scientists admit they lied about evolution for 150 years, real story suppressed",FAKE
Electric vehicle in car for the surpass sales sales first time diesel European market,REAL
Federal Reserve raises interest rates by 25 basis points amid ongoing inflation concerns,REAL
International trade between after negotiations US and EU resume six-month pause,REAL
"SHOCKING: Government secretly putting mind control chemicals in drinking water, whistleblower reveals",FAKE
SHOCKING: Major cabin to air caught drugs in putting company airline control passengers,FAKE
Your smartphone is recording everything you say and sending it to the government,FAKE
Researchers map patterns with brain and activity associated decision-making reward processing,REAL
Local government reduce composting by waste program introduces solid to municipal 30 percent,REAL
EXPOSED: Famous to charity money secretly funneling organization terrorist groups,FAKE
Researchers achieve new milestone reaching in error quantum computing correction threshold,REAL
New report shows COVID was engineered in a lab as a bioweapon by world powers,FAKE
Local government introduces composting program to reduce municipal solid waste by 30 percent,REAL
SHARE IMMEDIATELY: for New citizens will breathing air tax outdoor charge next year,FAKE
"Government paid crisis actors staged the shooting, family members speak out",FAKE
Researchers find promising against new drug effective compound antibiotic-resistant bacteria,REAL
Federal Reserve 25 ongoing raises amid basis interest points by rates inflation concerns,REAL
SHOCKING TRUTH: actually agencies are The is and space flat earth all lying,FAKE
"EXPOSED: The Hollywood landing was a faked new in studio, moon documents prove",FAKE
Scientists develop new water purification method effective against emerging contaminants,REAL
Tech giant European faces regulators over investigation antitrust from market practices,REAL
"ALERT: 5G towers are being used to spread the virus, experts are being silenced",FAKE
"Scientists admit for real they evolution 150 lied about years, story suppressed",FAKE
Supreme Court hears arguments in landmark case involving digital privacy rights,REAL
You won't believe what they found inside the moon — NASA is covering this up!,FAKE
SHOCKING TRUTH: The earth is actually flat and space agencies are all lying,FAKE
Central bank releases quarterly economic outlook projecting moderate growth ahead,REAL
New archaeological trade findings the on light shed routes ancient in Mediterranean region,REAL
Scientists publish increased lifestyle research new to linking sedentary cardiovascular risk,REAL
New archaeological findings shed light on ancient trade routes in the Mediterranean region,REAL
"EXPOSED: The moon landing was faked in a Hollywood studio, new documents prove",FAKE
Hollywood star reveals the dark truth about the entertainment industry's secret agenda,FAKE
City council approves new public transportation budget for infrastructure upgrades,REAL
Hospital system partners with university to expand rural telehealth services statewide,REAL
Scientists discover new species of deep-sea fish near hydrothermal vents in Pacific Ocean,REAL
BREAKING: Scientists discover miracle cure for all diseases hidden by Big Pharma for decades,FAKE
New regulations require food companies to clearly label allergens on all packaged products,REAL
New bridge to project and construction planning begin after years of environmental review,REAL
New study proves that chocolate cures all forms of depression better than medication,FAKE
University researchers that charges develop new 40 technology battery percent faster,REAL
Scientists confirm that the sun is actually getting colder and ice age is coming soon,FAKE
Scientist fired after proving that chemtrails are real and contain toxic chemicals,FAKE
Public health successfully to reduces smoking campaign historic rates lows nationally,REAL
EXPOSED: Major banks are planning to eliminate cash and control your spending,FAKE
The food pyramid is a lie designed to make you sick and dependent on medicine,FAKE
Scientists publish new research linking sedentary lifestyle to increased cardiovascular risk,REAL
Study shows education long-term childhood inequality early reduce programs in outcomes,REAL
Government announces new funding for affordable housing construction in urban areas,REAL
This banned video cause real it's of shows — the change climate not CO2!,FAKE
"Government paid crisis the family members staged shooting, actors speak out",FAKE
New public library opens offering expanded digital resources and community programs,REAL
Hospital system rural with expand telehealth partners to university services statewide,REAL
"BREAKING: Cure HIV found suppressed by plant, common in for pharmaceutical companies",FAKE
ALERT: Social to private listening media your companies conversations 24/7,FAKE
City announces expansion of bike lane network to reduce traffic congestion downtown,REAL
Your smartphone is say recording sending it everything and to you the government,FAKE
SHOCK CLAIM: Major tech CEO admits AI is already smarter than humans and hiding it,FAKE
Study shows early childhood education programs reduce long-term inequality in outcomes,REAL
"BREAKING: Giant civilization discovered media underground, ancient blackout imposed",FAKE
Electric vehicle sales surpass diesel car sales for the first time in European market,REAL
"SHOCKING: Government control mind chemicals putting in water, secretly drinking whistleblower reveals",FAKE
World Health updated releases on guidelines Organization antibiotic resistance prevention,REAL
URGENT WARNING: used Common spy families on by items being household to tech giants,FAKE
New legislation growing data introduced concerns to address about privacy online,REAL
Central government releases updated budget with increased spending on infrastructure,REAL
University study examines impact of social media usage on adolescent mental health outcomes,REAL
New public digital offering opens and resources expanded library community programs,REAL
EXPOSED: Famous living in and is his actor a death faked secret location,FAKE
"BREAKING: Cure for HIV found in common plant, suppressed by pharmaceutical companies",FAKE
Celebrity whistleblower reveals Hollywood elite runs secret satanic rituals,FAKE
"ALERT: 5G virus, experts used towers being are are to spread the being silenced",FAKE
International trade negotiations between US and EU resume after six-month pause,REAL
BREAKING: Secret for world tunnels major capitals underground connect elite travel,FAKE
"Government planning citizens, to with control to police replace robots insider says",FAKE
Urban planners propose green corridor connecting parks across metropolitan area,REAL
Central government budget with spending updated increased releases on infrastructure,REAL
"New evidence proves all are fossils that dinosaurs — never fake, existed researcher says",FAKE
Celebrity confirms: vaccines contain microchips to track your every move,FAKE
"World leaders to global agenda, meet reduction secretly leaked plan population documents show",FAKE
"They are leaked to control the in plastic growth, estrogen putting population memo confirms",FAKE
Annual report decline in significant following workplace injuries shows new safety regulations,REAL
Health officials effective vaccine confirm percent 60 is flu seasonal this year,REAL
Doctors HATE in that cancer one this weird cures trick 24 hours,FAKE
ALERT: New Internet law will allow government to read all private messages starting Monday,FAKE
New trade agricultural percent exports by over 15 expected increase to agreement five years,REAL
Astronomers detect gravitational waves from merging neutron stars 130 million light years away,REAL
Scientists discover vents fish near species hydrothermal deep-sea in new of Pacific Ocean,REAL
Scientists report faster predicted previously than is melting sheet Antarctic ice models showed,REAL
Hollywood star industry's entertainment dark the reveals about truth the secret agenda,FAKE
"Ancient prophecy predicts the end of the world will happen this year, signs are clear",FAKE
"Global renewable past percent energy 50 capacity over increased the decade, by report finds",REAL
Hidden cancer cure suppressed by drug companies for the last 50 years finally revealed,FAKE
Global health agency reports progress in eliminating polio in previously endemic regions,REAL
"They are putting estrogen in plastic to control the population growth, leaked memo confirms",FAKE
EXPOSED: Famous actor faked his death and is living in a secret location,FAKE
"New evidence proves that dinosaurs never existed — fossils are all fake, researcher says",FAKE
SHARE BEFORE fluoride in water about truth will The DELETED: shock you,FAKE
BREAKING: Major earthquake secret deliberately triggered by military weapon system,FAKE
Researchers achieve milestone in quantum computing reaching new error correction threshold,REAL
Economic indicators show steady recovery in manufacturing sector over past two quarters,REAL
Scientists sequence species genome rare assist of to endangered conservation efforts,REAL
New report in engineered shows as bioweapon a lab COVID by was a world powers,FAKE
Government announces funding new construction housing affordable in for urban areas,REAL
Economic indicators manufacturing steady sector past in show recovery over two quarters,REAL
BREAKING: Scientists by for cure Big diseases hidden Pharma all discover miracle for decades,FAKE
URGENT WARNING: Common household items being used to spy on families by tech giants,FAKE
Scientists confirm layer track is ozone on following recovery international treaty,REAL
Health officials confirm seasonal flu vaccine is 60 percent effective this year,REAL
Record voter in across turnout elections several local reported major cities,REAL
NASA's James of Webb detailed Space captures Telescope images distant galaxies,REAL
"BREAKING: Ancient Egyptian finally pyramids, the aliens built government admits truth",FAKE
Tech company announces quarterly earnings exceeding analyst expectations by 12 percent,REAL
URGENT: Banks switch all and currency planning close to to accounts digital by month end,FAKE
"Famous billionaire secretly funding the new world order takeover, sources reveal",FAKE
Supreme Court digital arguments landmark case in hears involving privacy rights,REAL
New regulations companies require label all to food clearly on allergens packaged products,REAL
SHARE BEFORE DELETED: The truth about fluoride in water will shock you,FAKE
International aviation body updates safety protocols following review of recent incidents,REAL
New study cures that of all depression chocolate forms proves better than medication,FAKE
"Global renewable energy capacity increased by 50 percent over the past decade, report finds",REAL
URGENT: New law will allow government to seize all private property starting next month,FAKE
"They are putting birth control in fast food to reduce world population, whistleblower reveals",FAKE
University study mental adolescent on usage social media of examines impact health outcomes,REAL
NASA's James Webb Space Telescope captures detailed images of distant galaxies,REAL
